rep_genome	members	genomes_in_tree	species
NC_085310	NC_085310,ON552974	ON552974	Scytothamnus australis
NC_085311	NC_085311,ON552975	NC_085311	Sporochnus bolleanus
NC_085312	NC_085312,ON552976	NC_085312	Syringoderma abyssicola
NC_086652	NC_086652,OR757060	NC_086652	Ascoseira mirabilis
NC_086653	NC_086653,OR757061	NC_086653	Papenfussiella kuromo
NC_086752	NC_086752,OR502664,OR502665	NC_086752	Tetradesmus reginae
NC_086753	NC_086753,OR502666	NC_086753	Tetradesmus distendus
NC_086754	NC_086754,OR502668	OR502668	Tetradesmus dimorphus
NC_086755	NC_086755,NC_086756,OR502669,OR502670	OR502669	Tetradesmus bajacalifornicus
NC_086797	NC_086797,NC_086808,OQ349516,OR003918,MN389525,MW531676,MW543061,NC_053613,NC_053614,NC_053615,MT179350,MT179352,NC_042255,MH730972,AP018696,NC_029040,KT882614	NC_053613	Ulva gigantea
NC_086863	NC_086863,OQ848500		Cephaleuros lagerheimii
NC_086864	NC_086864,OQ848501		Cephaleuros diffusus
NC_086871	NC_086871,OR361335	OR361335	Anunuuluaehu liula
NC_086886	NC_086886,OR699085	NC_086886	Cocconeiopsis kantsiensis
NC_086904	NC_086904,PP291728,NC_037479,AP018372		Prototheca blaschkeae
NC_086905	NC_086905,PP291729		Prototheca cerasi
NC_086906	NC_086906,PP291730		Prototheca cookei
NC_086907	NC_086907,PP291731		Prototheca fontanea
NC_086908	NC_086908,PP291732		Prototheca lentecrescens
NC_086909	NC_086909,PP291733		Prototheca miyajii
NC_086910	NC_086910,PP291734		Prototheca moriformis
NC_086911	NC_086911,PP291735		Prototheca paracutis
NC_086912	NC_086912,PP291736		Prototheca pringsheimii
NC_086913	NC_086913,PP291737		Prototheca tumulicola
NC_086914	NC_086914,PP291738		Prototheca vistulensis
NC_087870	NC_087870,PP471197,NC_085303,NC_085304,ON552964,ON552965,ON552966,OR228416,OR228417,OR228418,NC_079820,ON117328,ON117329,ON117330,ON117331,ON117332,OP895676,NC_070408,OK216140,OP866272,MK058524,MK058525,MK058526,MZ156038,MZ156040,MZ156043,MW038824,NC_018523,JQ405663	NC_070408	Ecklonia radiata
OK136183	OK136183	OK136183	Eutreptia sp. CCAC 1914B
OK136185	OK136185	OK136185	Eutreptiella sp. CCMP389
OK136186	OK136186	OK136186	Eutreptiella sp. CCMP1594
OK189523	OK189523,OK189524,OK189525,OK189526,KY509314	OK189524	Ostreobium quekettii
OK189527	OK189527	OK189527	Ostreobium quekettii
OK189528	OK189528	OK189528	Ostreobium quekettii
OK189529	OK189529	OK189529	Ostreobium quekettii
OK189530	OK189530,OK189531	OK189531	Ostreobium quekettii
OK505009	OK505009	OK505009	Cylindrotheca closterium
OK505010	OK505010	OK505010	Cylindrotheca closterium
OK569791	OK569791	OK569791	Chlorella desiccata (nom. nud.)
OK729588	OK729588,NC_066076,OL415006,OL415007	NC_066076	Navicula tsukamotoi
OL855988	OL855988,NC_024085,KC509525	NC_024085	Lithodesmium undulatum
OL855994	OL855994	OL855994	Odontella aurita
OL964142	OL964142,NC_072618,OM179751	OM179751	Hypnea edeniana
OL964145	OL964145,NC_072616,OM179746	NC_072616	Hypnea brasiliensis
OL964149	OL964149	OL964149	Calliblepharis sp.
OL964150	OL964150	OL964150	Hypnea sp.
OM084809	OM084809	OM084809	Cystoclonium purpureum
OM494341	OM494341	OM494341	Entomoneis sp.
OM827248	OM827248	OM827248	Actinocyclus sp. (in: diatoms)
OM827251	OM827251	OM827251	Guinardia striata
ON390793	ON390793	ON390793	Amicula sp. isolate GU52X-4 cfCalB7
ON406422	ON406422,NC_008097,DQ229107	ON406422	Chara vulgaris
ON552969	ON552969,NC_058314,MW762687	ON552969	Ishige okamurae
ON552973	ON552973,NC_057081,MW415415,MK798154,NC_046447,MK107984,MK107985	NC_057081	Scytosiphon lomentaria
ON553957	ON553957	ON553957	Griffithsia monilis
ON720942	ON720942	ON720942	Saxifraga limprichtii
ON844102	ON844102,ON844103,ON844104,ON844105,NC_063782,NC_063783,NC_063784,NC_063785,OL322706,OL322707,OL691556,OL703590,OL703591,OL703592,OL703593,OL703594,OL703595,OL703596,OL703597,OL703598,OL703599,OL703600,OL703601,OL703602,OL703603,OL703604,OL703605,OL703606,OL703607,OL703608,OL703609,OL703610,OL703611,JN022705,NC_007288,AY741371	ON844102	Emiliania huxleyi
ON986219	ON986219	ON986219	Chloroidium sp. KL-2023a
OP122566	OP122566,HF562234,NC_020795	NC_020795	Chondrus crispus
OP122567	OP122567	OP122567	Phacelocarpus tortuosus
OP142701	OP142701,OP171936,OP171937	OP171936	Gigartina radula
OP171935	OP171935	OP171935	Mazzaella leptorhynchos
OP448669	OP448669	OP448669	Chlorococcum sp. KSF0227
OP597710	OP597710	OP597710	Chlorogonium euchlorum
OP612670	OP612670	OP612670	Gloiopeltis furcata
OP616811	OP616811	OP616811	Sciadococcus taiwanensis
OP616812	OP616812	OP616812	Gronococcus sybilensis
OP616813	OP616813,OP616814	OP616814	Galdieria yellowstonensis
OP616817	OP616817	OP616817	Cyanidium sp. THAL103
OP616818	OP616818,AF022186,NC_001840	NC_001840	Cyanidium caldarium
OP616819	OP616819,MZ681959,MZ681960,NC_051883,MN431657	NC_051883	Cyanidiococcus yangmingshanensis
OP616820	OP616820	OP616820	Cavernulicola chilensis
OP718169	OP718169,NC_067848,OL752416	OL752416	Gomphonema parvulum
OP765320	OP765320,NC_068256,OM329943	OM329943	Monoraphidium dybowskii
OP978508	OP978508,MN853882,NC_039092,MH396013	NC_039092	Gracilaria vermiculophylla
OP985129	OP985129,NC_077590,OP985130,OP985131,OP985132,NC_067777,OL684342,MZ703011,MZ561475,MZ571508,NC_036137,KX342867,NC_035823,KX579943,NC_030312,KX058323	MZ571508	Ulva prolifera
OQ161670	OQ161670	OQ161670	Meringosphaera mediterranea
OQ161672	OQ161672,OQ161673	OQ161672	Meringosphaera mediterranea
OQ349515	OQ349515	OQ349515	Ostreobium sp. TRHA14-720
OQ694379	OQ694379	OQ694379	Fragilaria capucina
OQ694381	OQ694381,NC_024079,KC509519	OQ694381	Asterionella formosa
OQ731394	OQ731394	OQ731394	Echinothamnion sp.
OQ731395	OQ731395	OQ731395	Echinothamnion sp.
OQ731399	OQ731399	OQ731399	Lophurella pseudocorticata
OQ848499	OQ848499		Cephaleuros virescens
OQ849777	OQ849777	OQ849777	Chlorophyceae sp. KF-2023a
OQ908868	OQ908868,OQ908869	OQ908869	Laurencia australis
OQ942923	OQ942923	OQ942923	Picochlorum sp. BH-2019
OR139612	OR139612,NC_071183,OM766211,NC_065334,ON227495,NC_058274,MZ156031,MZ156032,MW899036,NC_049039,MT151382	NC_065334	Macrocystis pyrifera
OR148362	OR148362	OR148362	Ochrosphaera neapolitana
OR168088	OR168088,NC_008822,DQ422812	NC_008822	Chlorokybus atmophyticus
OR168089	OR168089,OR168090,NC_030313,KU646490	OR168090	Entransia fimbriata
OR168099	OR168099,OR168101	OR168099	Klebsormidium flaccidum
OR168110	OR168110,OR168109,NC_024167,KJ461680	NC_024167	Klebsormidium flaccidum
OR168112	OR168112,OR168113,AF166114,NC_002186	NC_002186	Mesostigma viride
OR350844	OR350844	OR350844	Scenedesmaceae sp. YH-2023b
OR464347	OR464347,NC_066074,OL415004	OR464347	Haslea avium
OR464348	OR464348	OR464348	Nitzschia anomala
OR464349	OR464349	OR464349	Pleurosigma inscriptura
OR464350	OR464350	OR464350	Nitzschia reversa
OR464351	OR464351	OR464351	Nitzschia dissipatoides
OR464352	OR464352	OR464352	Entomoneis umbratica
OR502667	OR502667	OR502667	Tetradesmus sp. JML-2023a
OR502671	OR502671	OR502671	Tetradesmus sp. JML-2023b
OR502672	OR502672,KX756229,NC_008101,DQ396875	KX756229	Tetradesmus obliquus
OR608737	OR608737	OR608737	Rhodochorton tenue
OR666648	OR666648,NC_077461,MT385839,KJ958480,KJ958481	KJ958480	Cyclotella sp. L04_2
OR666649	OR666649	OR666649	Conticribra weissflogii
OR666650	OR666650	OR666650	Discostella asterocostata
OR666651	OR666651	OR666651	Thalassiosira duostra
OR666652	OR666652,NC_072630,OP964512	OP964512	Stephanodiscus niagarae
OR666653	OR666653	OR666653	Cyclostephanos invisitatus
OR666654	OR666654	OR666654	Thalassiosira lacustris
OR666655	OR666655	OR666655	Discostella guiyangensis
OR666656	OR666656,NC_038005,MG755804	NC_038005	Discostella pseudostelligera
OR666657	OR666657	OR666657	Lindavia radiosa
OR666658	OR666658	OR666658	Cyclotella distinguenda
OR795085	OR795085,OR795086	OR795086	Navicula sp.
OR805654	OR805654	OR805654	Naviculales sp.
OR830335	OR830335,NC_012097,FJ493498	FJ493498	Pycnococcus provasolii
OR858607	OR858607,NC_082077,NC_082078,OR168118,OR168119	OR168118	Streptosarcina arenaria
OR881974	OR881974,OR909680,OR909681,OR909682,OR909683,OR909684	OR909681	Mazzaella laminarioides
OR909685	OR909685		Mazzaella membranacea
PP291739	PP291739,NC_054192,MN794236		Prototheca wickerhamii
PP291740	PP291740		Prototheca zopfii
PP728231	PP728231	PP728231	Haslea sp.
PP906181	PP906181,NC_081972,OR128540,LC521919	OR128540	Neoporphyra dentata
PP942170	PP942170	PP942170	Gracilaria hainanensis
PP949287	PP949287	PP949287	Pterocladiella capillacea
PP962255	PP962255,PP727123	PP962255	Halamphora sp.
PP990793	PP990793	PP990793	Koliella sp. HS-2024a
PQ010274	PQ010274,NC_058786,MW853966	NC_058786	Pseudo-nitzschia simulans
PQ010275	PQ010275	PQ010275	Pseudo-nitzschia brasiliana
PQ010276	PQ010276	PQ010276	Pseudo-nitzschia galaxiae
PQ010277	PQ010277	PQ010277	Pseudo-nitzschia sabit
PQ144585	PQ144585,PQ083144	PQ144585	Borodinellopsis sp. QY-2024b
PQ399789	PQ399789	PQ399789	Platoma sp. KA-2024a
PQ652170	PQ652170,NC_013359,GQ892829	NC_013359	Bryopsis hypnoides
PQ722531	PQ722531	PQ722531	Navicula incertata
