genomeid	length	type	structure	release_date
MN794236	47997	DNA	circular	14-NOV-2020
MT226925	138101	DNA	circular	07-NOV-2020
MW038824	130587	DNA	circular	04-NOV-2020
MH898941	171419	DNA	circular	29-OCT-2020
NC_050739	96808	DNA	circular	03-APR-2023
MT179348	109820	DNA	circular	19-OCT-2020
MT179349	94654	DNA	circular	19-OCT-2020
MT179350	117606	DNA	circular	19-OCT-2020
MT179352	96673	DNA	circular	17-SEP-2021
MW004650	116284	DNA	circular	19-OCT-2020
KX595275	96808	DNA	circular	01-OCT-2020
MT795188	123982	DNA	circular	26-SEP-2020
MT795189	124053	DNA	circular	26-SEP-2020
MT800998	124319	DNA	circular	09-SEP-2020
MN431657	147972	DNA	circular	16-AUG-2020
NC_049013	95281	DNA	circular	03-APR-2023
NC_049039	130619	DNA	circular	03-APR-2023
NC_049168	105872	DNA	circular	03-APR-2023
MT304829	105872	DNA	circular	22-JUN-2020
MN201587	123255	DNA	circular	21-JUN-2020
MT040697	157548	DNA	circular	20-JUN-2020
MH161344	235030	DNA	circular	15-JUN-2020
MH161345	268283	DNA	circular	15-JUN-2020
MT151382	130619	DNA	circular	03-JUN-2020
MT364382	95281	DNA	circular	02-JUN-2020
NC_048511	124298	DNA	circular	03-APR-2023
MT117916	176635	DNA	circular	11-MAY-2020
MT117918	68701	DNA	circular	11-MAY-2020
MT211884	178175	DNA	circular	05-MAY-2020
MT211885	178182	DNA	circular	05-MAY-2020
MT211886	178170	DNA	circular	05-MAY-2020
MT211887	178183	DNA	circular	05-MAY-2020
LC507117	102899	DNA	linear	02-MAY-2020
MN894287	139597	DNA	circular	28-APR-2020
MN265366	124075	DNA	circular	26-APR-2020
NC_047430	182093	DNA	circular	03-APR-2023
NC_047431	214786	DNA	circular	03-APR-2023
NC_047434	173516	DNA	circular	03-APR-2023
NC_047440	150157	DNA	circular	03-APR-2023
NC_047441	157920	DNA	circular	03-APR-2023
MN794016	124298	DNA	circular	25-APR-2020
MN659373	157920	DNA	circular	20-APR-2020
MN659374	148490	DNA	circular	20-APR-2020
MN699101	193940	DNA	circular	20-APR-2020
MN701585	150157	DNA	circular	20-APR-2020
MN701586	182093	DNA	circular	20-APR-2020
MN701587	214786	DNA	circular	20-APR-2020
MN701588	208126	DNA	circular	20-APR-2020
MN701985	104049	DNA	circular	20-APR-2020
MN701986	69191	DNA	circular	20-APR-2020
MN701987	19776	DNA	circular	20-APR-2020
MN701988	13217	DNA	circular	20-APR-2020
MN701989	12242	DNA	circular	20-APR-2020
MN701990	10778	DNA	circular	20-APR-2020
MN701991	3934	DNA	circular	20-APR-2020
MT193838	173516	DNA	circular	20-APR-2020
NC_046751	190431	DNA	circular	03-APR-2023
NC_046447	134358	DNA	circular	03-APR-2023
NC_046495	193007	DNA	circular	03-APR-2023
MK783267	190431	DNA	circular	08-MAR-2020
AP018129	187517	DNA	circular	26-MAR-2020
NC_046005	137324	DNA	circular	03-APR-2023
NC_046041	179410	DNA	circular	03-APR-2023
NC_046042	179082	DNA	circular	03-APR-2023
NC_046043	179609	DNA	circular	03-APR-2023
MN181444	139516	DNA	circular	04-MAR-2020
LC521919	192266	DNA	circular	29-FEB-2020
MK107984	134358	DNA	circular	27-FEB-2020
MK107985	134366	DNA	circular	27-FEB-2020
MN967052	193007	DNA	circular	24-FEB-2020
NC_045893	192954	DNA	circular	03-APR-2023
NC_045914	135722	DNA	circular	03-APR-2023
MH511733	209370	DNA	circular	18-FEB-2020
MH511734	192954	DNA	circular	18-FEB-2020
MG739403	137324	DNA	circular	27-FEB-2020
MN053318	179410	DNA	circular	08-FEB-2020
MN053319	179082	DNA	circular	08-FEB-2020
MN053320	179609	DNA	circular	08-FEB-2020
MN937452	117363	DNA	circular	05-FEB-2020
LC484192	129974	DNA	circular	04-FEB-2020
LC484193	80503	DNA	circular	04-FEB-2020
LC484194	106661	DNA	circular	04-FEB-2020
MH745228	135722	DNA	circular	02-FEB-2020
MK792749	177848	DNA	circular	27-JAN-2020
MK792750	133626	DNA	circular	27-JAN-2020
MN121852	124286	DNA	circular	27-JAN-2020
MN853875	104380	DNA	circular	15-JAN-2020
MN853876	83788	DNA	circular	15-JAN-2020
MN853877	188547	DNA	circular	15-JAN-2020
MN276191	160994	DNA	circular	16-DEC-2019
MN649872	115638	DNA	circular	14-DEC-2019
NC_045244	123275	DNA	circular	03-APR-2023
MK372941	127013	DNA	circular	10-DEC-2019
MK948100	154201	DNA	circular	01-DEC-2019
MK948102	176851	DNA	circular	01-DEC-2019
MK217824	123275	DNA	circular	12-NOV-2019
MK695880	191977	DNA	circular	05-NOV-2019
MK895950	199241	DNA	circular	30-OCT-2019
MK212028	126824	DNA	circular	29-OCT-2019
NC_045059	28638	DNA	circular	03-APR-2023
MN128434	107442	DNA	circular	28-OCT-2019
MK995333	111776	DNA	circular	15-OCT-2019
NC_044689	130377	DNA	circular	03-APR-2023
NC_044690	130784	DNA	circular	03-APR-2023
NC_044704	97270	DNA	circular	03-APR-2023
NC_044758	133508	DNA	circular	03-APR-2023
NC_044785	66116	DNA	circular	03-APR-2023
MN102114	298251	DNA	circular	17-SEP-2019
MF591718	133508	DNA	circular	27-FEB-2020
NC_044407	108152	DNA	circular	03-APR-2023
NC_044408	112413	DNA	circular	03-APR-2023
NC_044463	142551	DNA	circular	03-APR-2023
NC_044464	150738	DNA	circular	03-APR-2023
NC_044465	121927	DNA	circular	03-APR-2023
NC_044491	120448	DNA	circular	03-APR-2023
MN065498	66116	DNA	circular	03-SEP-2019
MN056173	97270	DNA	circular	27-AUG-2019
MH784527	130377	DNA	circular	26-AUG-2019
MH784528	130784	DNA	circular	26-AUG-2019
MH681881	120448	DNA	circular	07-AUG-2019
MK045450	142551	DNA	circular	03-AUG-2019
MK045451	150738	DNA	circular	03-AUG-2019
MK045452	121927	DNA	circular	03-AUG-2019
MK518352	108152	DNA	circular	03-AUG-2019
MK518353	112413	DNA	circular	03-AUG-2019
NC_044182	130305	DNA	circular	03-APR-2023
MK965908	130305	DNA	circular	27-JUL-2019
NC_043776	399372	DNA	circular	03-APR-2023
NC_043860	119866	DNA	circular	03-APR-2023
NC_043890	109450	DNA	circular	03-APR-2023
NC_043929	140025	DNA	circular	03-APR-2023
MK561359	140025	DNA	circular	10-JUL-2019
MK561360	109450	DNA	circular	10-JUL-2019
MH983006	109688	DNA	circular	01-JUL-2019
MK069584	119866	DNA	circular	29-JUN-2019
NC_042794	169139	DNA	circular	03-APR-2023
NC_042901	178350	DNA	circular	03-APR-2023
MK580484	399372	DNA	circular	08-JUN-2019
NC_042483	64565	DNA	circular	03-APR-2023
NC_042484	64740	DNA	circular	03-APR-2023
NC_042485	64323	DNA	circular	03-APR-2023
NC_042486	64534	DNA	circular	03-APR-2023
NC_042487	71262	DNA	circular	03-APR-2023
NC_042488	64094	DNA	circular	03-APR-2023
NC_042489	69644	DNA	circular	03-APR-2023
MK598845	178350	DNA	circular	26-MAY-2019
NC_042170	192311	DNA	circular	03-APR-2023
NC_042171	186778	DNA	circular	03-APR-2023
NC_042181	196140	DNA	circular	03-APR-2023
NC_042182	242172	DNA	circular	03-APR-2023
NC_042241	177618	DNA	circular	03-APR-2023
NC_042250	298847	DNA	circular	03-APR-2023
NC_042251	134869	DNA	circular	03-APR-2023
NC_042255	95997	DNA	circular	03-APR-2023
MH853471	169139	DNA	circular	06-MAY-2019
MK085986	64565	DNA	circular	14-APR-2019
MK085987	64740	DNA	circular	14-APR-2019
MK085988	70730	DNA	circular	14-APR-2019
MK085989	64323	DNA	circular	14-APR-2019
MK085990	70659	DNA	circular	14-APR-2019
MK085991	64534	DNA	circular	14-APR-2019
MK085992	64519	DNA	circular	14-APR-2019
MK085993	71262	DNA	circular	14-APR-2019
MK085994	64094	DNA	circular	14-APR-2019
MK085995	69644	DNA	circular	14-APR-2019
MK085996	70736	DNA	circular	14-APR-2019
MK085997	67005	DNA	circular	14-APR-2019
MH026107	192311	DNA	circular	13-APR-2019
MH026108	186778	DNA	circular	13-APR-2019
MH730972	95997	DNA	circular	10-APR-2019
NC_041636	176889	DNA	circular	03-APR-2023
MG778173	242172	DNA	circular	08-APR-2019
MG778185	298847	DNA	circular	08-APR-2019
MG778500	134869	DNA	circular	19-APR-2019
MG778533	198471	DNA	circular	08-APR-2019
MG786420	177618	DNA	circular	08-APR-2019
MF423120	196140	DNA	circular	05-APR-2019
AB807662	192409	DNA	linear	28-MAR-2019
CP038136	117556	DNA	circular	28-MAR-2019
MK408748	176889	DNA	circular	18-MAR-2019
NC_041173	177099	DNA	circular	03-APR-2023
NC_041174	176601	DNA	circular	03-APR-2023
NC_041175	177095	DNA	circular	03-APR-2023
MG922858	177099	DNA	circular	13-FEB-2019
MG922861	176601	DNA	circular	13-FEB-2019
MG922862	177095	DNA	circular	13-FEB-2019
NC_040291	105837	DNA	circular	03-APR-2023
NC_040294	121124	DNA	circular	03-APR-2023
NC_040295	120042	DNA	circular	03-APR-2023
NC_040296	125946	DNA	circular	03-APR-2023
NC_040297	117466	DNA	circular	03-APR-2023
NC_040298	120715	DNA	circular	03-APR-2023
NC_040299	123658	DNA	circular	03-APR-2023
NC_040300	126352	DNA	circular	03-APR-2023
MK281452	121124	DNA	circular	29-JAN-2019
MK281453	120042	DNA	circular	28-JAN-2019
MK281454	125946	DNA	circular	28-JAN-2019
MK281455	117466	DNA	circular	19-JAN-2019
MK281456	120715	DNA	circular	28-JAN-2019
MK281457	123658	DNA	circular	19-JAN-2019
MK281458	126352	DNA	circular	28-JAN-2019
MF795089	105837	DNA	circular	14-JAN-2019
MH113811	119449	DNA	circular	24-DEC-2018
KX809677	148274	DNA	circular	17-DEC-2018
NC_040134	133257	DNA	circular	03-APR-2023
NC_040135	146918	DNA	circular	03-APR-2023
NC_040152	137017	DNA	circular	03-APR-2023
NC_040153	143343	DNA	circular	03-APR-2023
NC_040156	175499	DNA	circular	03-APR-2023
NC_040158	176549	DNA	circular	03-APR-2023
MG459429	124375	DNA	circular	11-DEC-2018
MH356727	150905	DNA	circular	11-DEC-2018
NC_039920	111561	DNA	circular	03-APR-2023
NC_039927	90869	DNA	circular	03-APR-2023
NC_039928	69550	DNA	circular	03-APR-2023
NC_039967	58112	DNA	circular	03-APR-2023
NC_039968	81048	DNA	circular	03-APR-2023
NC_039969	83936	DNA	circular	03-APR-2023
NC_039970	77415	DNA	circular	03-APR-2023
NC_039971	82134	DNA	circular	03-APR-2023
NC_039977	179264	DNA	circular	03-APR-2023
NC_039978	174280	DNA	circular	03-APR-2023
MF167424	130276	DNA	circular	20-NOV-2018
MF167425	137017	DNA	circular	20-NOV-2018
MF167426	143343	DNA	circular	20-NOV-2018
MH790906	111563	DNA	circular	20-NOV-2018
MG727869	111561	DNA	circular	14-NOV-2018
MH281626	179264	DNA	circular	12-NOV-2018
MH281627	183822	DNA	circular	12-NOV-2018
MH281628	174280	DNA	circular	12-NOV-2018
MH281629	192307	DNA	circular	12-NOV-2018
MH281630	190860	DNA	circular	12-NOV-2018
MH898667	58112	DNA	circular	11-NOV-2018
MH898668	81048	DNA	circular	11-NOV-2018
MH898669	82966	DNA	circular	11-NOV-2018
MH898670	83936	DNA	circular	11-NOV-2018
MH898671	77415	DNA	circular	11-NOV-2018
MH898672	82134	DNA	circular	11-NOV-2018
MH898673	90869	DNA	circular	11-NOV-2018
MH898674	69550	DNA	circular	11-NOV-2018
NC_039737	977190	DNA	circular	03-APR-2023
NC_039754	300175	DNA	circular	03-APR-2023
NC_039755	245738	DNA	circular	03-APR-2023
NC_039766	75391	DNA	circular	03-APR-2023
MG922860	175499	DNA	circular	12-APR-2019
MG922864	176549	DNA	circular	06-NOV-2018
NC_039520	107336	DNA	circular	03-APR-2023
NC_039521	75962	DNA	circular	03-APR-2023
NC_039522	74525	DNA	circular	03-APR-2023
NC_039523	148111	DNA	circular	03-APR-2023
NC_039524	79309	DNA	circular	03-APR-2023
NC_039525	94006	DNA	circular	03-APR-2023
NC_039526	114851	DNA	circular	03-APR-2023
NC_039527	91555	DNA	circular	03-APR-2023
NC_039528	100743	DNA	circular	03-APR-2023
MH795128	133059	DNA	circular	03-NOV-2018
MH795129	128699	DNA	circular	03-NOV-2018
MH795130	133257	DNA	circular	03-NOV-2018
MH795131	146918	DNA	circular	03-NOV-2018
MH795132	130705	DNA	circular	03-NOV-2018
MH591102	88034	DNA	circular	01-OCT-2018
MH591103	107336	DNA	circular	01-OCT-2018
MH591104	75962	DNA	circular	01-OCT-2018
MH591105	74525	DNA	circular	01-OCT-2018
MH591106	148111	DNA	circular	01-OCT-2018
MH591107	79309	DNA	circular	01-OCT-2018
MH591108	75391	DNA	circular	01-OCT-2018
MH591109	94006	DNA	circular	01-OCT-2018
MH591110	114851	DNA	circular	01-OCT-2018
MH591111	91555	DNA	circular	01-OCT-2018
MH591112	100743	DNA	circular	01-OCT-2018
MH591113	90749	DNA	circular	01-OCT-2018
NC_039377	119402	DNA	circular	03-APR-2023
MH267732	260161	DNA	circular	23-SEP-2018
MH285950	300175	DNA	circular	23-SEP-2018
MH285951	245738	DNA	circular	23-SEP-2018
MG976688	977190	DNA	circular	17-SEP-2018
NC_039092	180254	DNA	circular	03-APR-2023
NC_039139	182933	DNA	circular	04-APR-2023
NC_039140	180255	DNA	circular	03-APR-2023
NC_039141	180807	DNA	circular	03-APR-2023
NC_039142	178841	DNA	circular	03-APR-2023
NC_039143	181896	DNA	circular	03-APR-2023
NC_039144	184980	DNA	circular	03-APR-2023
NC_039145	218416	DNA	circular	03-APR-2023
NC_039156	128302	DNA	circular	03-APR-2023
MF622086	128302	DNA	circular	07-AUG-2018
MH396009	182933	DNA	circular	07-AUG-2018
MH396010	180255	DNA	circular	07-AUG-2018
MH396011	180807	DNA	circular	07-AUG-2018
MH396012	178841	DNA	circular	07-AUG-2018
MH396013	180254	DNA	circular	07-AUG-2018
MH396014	181896	DNA	circular	07-AUG-2018
MH396015	184980	DNA	circular	07-AUG-2018
MH396016	218416	DNA	circular	07-AUG-2018
MG753774	119402	DNA	circular	04-AUG-2018
NC_038187	98470	DNA	circular	03-APR-2023
NC_038215	150128	DNA	circular	03-APR-2023
NC_038216	130509	DNA	circular	03-APR-2023
NC_038231	136274	DNA	circular	03-APR-2023
NC_038051	183855	DNA	circular	03-APR-2023
NC_038100	185129	DNA	circular	03-APR-2023
NC_038144	170468	DNA	circular	03-APR-2023
MF372957	185129	DNA	circular	23-JUL-2018
MF460360	136274	DNA	circular	27-FEB-2020
MH590838	173580	DNA	circular	17-JUL-2018
MF630936	98470	DNA	circular	14-JUL-2018
NC_037841	195990	DNA	circular	03-APR-2023
NC_037918	187836	DNA	circular	03-APR-2023
NC_037919	219917	DNA	circular	03-APR-2023
NC_037920	206668	DNA	circular	03-APR-2023
NC_037921	187268	DNA	circular	03-APR-2023
NC_037922	211386	DNA	circular	03-APR-2023
NC_037923	143108	DNA	circular	03-APR-2023
NC_037995	201816	DNA	circular	03-APR-2023
NC_037996	121011	DNA	circular	04-APR-2023
NC_037997	139305	DNA	circular	03-APR-2023
NC_037998	122145	DNA	circular	03-APR-2023
NC_037999	129565	DNA	circular	03-APR-2023
NC_038000	119120	DNA	circular	03-APR-2023
NC_038001	122056	DNA	circular	03-APR-2023
NC_038002	120381	DNA	circular	03-APR-2023
NC_038003	125283	DNA	circular	03-APR-2023
NC_038004	168922	DNA	circular	03-APR-2023
NC_038005	129261	DNA	circular	03-APR-2023
NC_038006	122128	DNA	circular	03-APR-2023
NC_038007	126286	DNA	circular	03-APR-2023
NC_038008	131032	DNA	circular	03-APR-2023
NC_038009	120392	DNA	circular	03-APR-2023
KY018922	183855	DNA	circular	30-JUN-2018
MG601102	150128	DNA	circular	27-JUN-2018
MG601103	130509	DNA	circular	27-JUN-2018
KY212106	170468	DNA	circular	03-JUL-2018
MG755791	138249	DNA	circular	17-JUN-2018
MG755792	201816	DNA	circular	17-JUN-2018
MG755793	121011	DNA	circular	17-JUN-2018
MG755794	139305	DNA	circular	17-JUN-2018
MG755795	121184	DNA	circular	17-JUN-2018
MG755796	122145	DNA	circular	17-JUN-2018
MG755797	172317	DNA	circular	17-JUN-2018
MG755798	129565	DNA	circular	17-JUN-2018
MG755799	119120	DNA	circular	17-JUN-2018
MG755800	122056	DNA	circular	17-JUN-2018
MG755801	120381	DNA	circular	17-JUN-2018
MG755802	125283	DNA	circular	17-JUN-2018
MG755803	168922	DNA	circular	17-JUN-2018
MG755804	129261	DNA	circular	17-JUN-2018
MG755805	122128	DNA	circular	17-JUN-2018
MG755806	126286	DNA	circular	17-JUN-2018
MG755807	131032	DNA	circular	17-JUN-2018
MG755808	120392	DNA	circular	17-JUN-2018
MF276976	187836	DNA	circular	07-JUN-2018
MF276977	219917	DNA	circular	07-JUN-2018
MF276978	195439	DNA	circular	07-JUN-2018
MF276979	214352	DNA	circular	07-JUN-2018
MF276980	198980	DNA	circular	07-JUN-2018
MF276981	220663	DNA	circular	07-JUN-2018
MF276982	206668	DNA	circular	07-JUN-2018
MF276983	200630	DNA	circular	07-JUN-2018
MF276984	187268	DNA	circular	07-JUN-2018
MF276985	211386	DNA	circular	07-JUN-2018
MF276986	143108	DNA	circular	07-JUN-2018
AP018696	103313	DNA	circular	26-MAY-2018
NC_037480	51673	DNA	circular	03-APR-2023
MG598531	195990	DNA	circular	02-MAY-2018
NC_037363	100655	DNA	circular	03-APR-2023
NC_037364	88592	DNA	circular	03-APR-2023
NC_037365	105774	DNA	circular	03-APR-2023
NC_037366	83933	DNA	circular	03-APR-2023
NC_037367	140597	DNA	circular	03-APR-2023
NC_037450	28698	DNA	circular	03-APR-2023
NC_037479	48188	DNA	circular	03-APR-2023
MG922855	125066	DNA	circular	24-APR-2018
AP018372	48188	DNA	circular	20-MAR-2018
AP018373	51673	DNA	circular	20-MAR-2018
KY819063	100655	DNA	circular	20-MAR-2018
KY819064	88592	DNA	circular	20-MAR-2018
KY819065	105774	DNA	circular	20-MAR-2018
KY819066	83933	DNA	circular	20-MAR-2018
KY819068	140597	DNA	circular	20-MAR-2018
MF197535	28698	DNA	circular	04-OCT-2018
MF197536	28638	DNA	circular	04-OCT-2018
NC_036937	104520	DNA	circular	03-APR-2023
NC_037007	1352306	DNA	circular	03-APR-2023
NC_036804	126099	DNA	circular	04-APR-2023
NC_036805	124353	DNA	circular	03-APR-2023
NC_036806	129436	DNA	circular	03-APR-2023
MG677935	1352306	DNA	circular	05-FEB-2018
MG520331	104520	DNA	circular	29-JAN-2018
KY433579	126099	DNA	circular	25-JAN-2018
KY629616	124353	DNA	circular	24-JAN-2018
KY629617	124881	DNA	circular	30-JAN-2018
KY629620	129436	DNA	circular	24-JAN-2018
NC_036668	196809	DNA	circular	03-APR-2023
MF805805	68605	DNA	circular	08-JAN-2018
KU847995	196809	DNA	circular	31-DEC-2017
KX131180	210757	DNA	circular	31-DEC-2017
MG264610	979356	DNA	circular	26-DEC-2017
KX306884	256512	DNA	circular	19-DEC-2017
KY347917	91755	DNA	circular	16-DEC-2017
MG552671	72741	DNA	circular	11-DEC-2017
KY499654	119630	DNA	circular	25-NOV-2017
NC_036137	93066	DNA	circular	03-APR-2023
MF401423	220483	DNA	circular	17-OCT-2017
KX342867	93066	DNA	circular	11-OCT-2017
KX756229	167272	DNA	circular	16-SEP-2017
NC_035823	89414	DNA	circular	03-APR-2023
NC_035720	128285	DNA	circular	03-APR-2023
NC_035721	139432	DNA	circular	03-APR-2023
KX579943	89414	DNA	circular	26-MAR-2019
KY860574	139403	DNA	circular	30-AUG-2017
NC_035573	190173	DNA	circular	03-APR-2023
MF401963	185640	DNA	circular	06-AUG-2017
KY856939	128285	DNA	circular	05-AUG-2017
KY856940	140953	DNA	circular	05-AUG-2017
KY856941	139432	DNA	circular	05-AUG-2017
LC269918	159918	DNA	circular	01-AUG-2017
LC269919	160150	DNA	circular	01-AUG-2017
LC269920	160099	DNA	circular	01-AUG-2017
LC269921	159321	DNA	circular	01-AUG-2017
LC269922	160152	DNA	circular	01-AUG-2017
LC269923	159492	DNA	circular	01-AUG-2017
LC269924	159691	DNA	circular	01-AUG-2017
MF385003	190173	DNA	circular	29-NOV-2017
NC_035231	187354	DNA	circular	03-APR-2023
NC_035257	173119	DNA	circular	03-APR-2023
NC_035258	171598	DNA	circular	03-APR-2023
NC_035259	172014	DNA	circular	03-APR-2023
NC_035260	176064	DNA	circular	03-APR-2023
NC_035261	168283	DNA	circular	03-APR-2023
NC_035262	183995	DNA	circular	03-APR-2023
NC_035263	165111	DNA	circular	03-APR-2023
NC_035264	170809	DNA	circular	03-APR-2023
NC_035265	166397	DNA	circular	03-APR-2023
NC_035266	171750	DNA	circular	03-APR-2023
NC_035267	171837	DNA	circular	03-APR-2023
NC_035268	167514	DNA	circular	03-APR-2023
NC_035269	165038	DNA	circular	03-APR-2023
NC_035270	166000	DNA	circular	03-APR-2023
NC_035271	175951	DNA	circular	03-APR-2023
NC_035272	169795	DNA	circular	03-APR-2023
NC_035273	168951	DNA	circular	03-APR-2023
NC_035274	168290	DNA	circular	03-APR-2023
NC_035275	169061	DNA	circular	03-APR-2023
NC_035276	175547	DNA	circular	03-APR-2023
NC_035277	165237	DNA	circular	03-APR-2023
NC_035278	167445	DNA	circular	03-APR-2023
NC_035279	166895	DNA	circular	03-APR-2023
NC_035280	170970	DNA	circular	03-APR-2023
NC_035281	164979	DNA	circular	03-APR-2023
NC_035282	168001	DNA	circular	03-APR-2023
NC_035283	167318	DNA	circular	03-APR-2023
NC_035284	168531	DNA	circular	03-APR-2023
NC_035285	175578	DNA	circular	03-APR-2023
NC_035286	174510	DNA	circular	03-APR-2023
NC_035287	170203	DNA	circular	03-APR-2023
NC_035288	169341	DNA	circular	03-APR-2023
NC_035289	169619	DNA	circular	03-APR-2023
NC_035290	167948	DNA	circular	03-APR-2023
NC_035291	169659	DNA	circular	03-APR-2023
NC_035292	175085	DNA	circular	03-APR-2023
NC_035293	178949	DNA	circular	03-APR-2023
NC_035294	174482	DNA	circular	03-APR-2023
NC_035295	163418	DNA	circular	03-APR-2023
NC_035296	163271	DNA	circular	03-APR-2023
NC_035297	168768	DNA	circular	03-APR-2023
NC_035298	174848	DNA	circular	03-APR-2023
NC_035299	165623	DNA	circular	03-APR-2023
NC_035350	221013	DNA	circular	03-APR-2023
MF083688	197530	DNA	circular	07-JUL-2017
MF083689	199552	DNA	circular	07-JUL-2017
MF083690	180598	DNA	circular	07-JUL-2017
MF083691	196044	DNA	circular	07-JUL-2017
MF083692	198529	DNA	circular	07-JUL-2017
NC_035156	97245	DNA	circular	03-APR-2023
KY083067	221013	DNA	circular	18-JUN-2017
KY033529	187354	DNA	circular	16-JUN-2017
MF101408	173119	DNA	circular	12-JUN-2017
MF101409	171598	DNA	circular	12-JUN-2017
MF101410	172014	DNA	circular	12-JUN-2017
MF101411	176064	DNA	circular	12-JUN-2017
MF101412	171106	DNA	circular	12-JUN-2017
MF101413	168283	DNA	circular	12-JUN-2017
MF101414	172973	DNA	circular	12-JUN-2017
MF101415	183995	DNA	circular	12-JUN-2017
MF101416	165111	DNA	circular	12-JUN-2017
MF101417	170809	DNA	circular	12-JUN-2017
MF101418	166397	DNA	circular	12-JUN-2017
MF101419	171750	DNA	circular	12-JUN-2017
MF101420	171837	DNA	circular	12-JUN-2017
MF101421	167514	DNA	circular	12-JUN-2017
MF101422	165038	DNA	circular	12-JUN-2017
MF101423	166000	DNA	circular	03-DEC-2019
MF101424	175951	DNA	circular	12-JUN-2017
MF101425	169795	DNA	circular	12-JUN-2017
MF101426	168951	DNA	circular	12-JUN-2017
MF101427	168290	DNA	circular	12-JUN-2017
MF101428	169061	DNA	circular	12-JUN-2017
MF101429	170277	DNA	circular	12-JUN-2017
MF101430	175547	DNA	circular	12-JUN-2017
MF101431	173107	DNA	circular	12-JUN-2017
MF101432	165237	DNA	circular	12-JUN-2017
MF101433	167445	DNA	circular	12-JUN-2017
MF101434	166895	DNA	circular	12-JUN-2017
MF101435	165214	DNA	circular	03-DEC-2019
MF101436	170970	DNA	circular	12-JUN-2017
MF101437	164979	DNA	circular	12-JUN-2017
MF101438	168001	DNA	circular	12-JUN-2017
MF101439	167318	DNA	circular	12-JUN-2017
MF101440	168531	DNA	circular	12-JUN-2017
MF101441	175578	DNA	circular	12-JUN-2017
MF101442	174510	DNA	circular	12-JUN-2017
MF101443	170203	DNA	circular	12-JUN-2017
MF101444	169341	DNA	circular	12-JUN-2017
MF101445	169619	DNA	circular	12-JUN-2017
MF101446	167948	DNA	circular	12-JUN-2017
MF101447	169659	DNA	circular	12-JUN-2017
MF101448	175085	DNA	circular	12-JUN-2017
MF101449	178949	DNA	circular	12-JUN-2017
MF101450	174482	DNA	circular	12-JUN-2017
MF101451	175716	DNA	circular	12-JUN-2017
MF101452	163418	DNA	circular	12-JUN-2017
MF101453	176826	DNA	circular	12-JUN-2017
MF101454	163271	DNA	circular	12-JUN-2017
MF101455	168768	DNA	circular	12-JUN-2017
MF101456	168533	DNA	circular	12-JUN-2017
MF101465	174848	DNA	circular	12-JUN-2017
MF101467	165623	DNA	circular	12-JUN-2017
KP939040	97245	DNA	circular	07-JUN-2017
KY613608	84577	DNA	circular	07-JUN-2017
NC_034654	232554	DNA	circular	03-APR-2023
NC_034655	225641	DNA	circular	03-APR-2023
NC_034709	227181	DNA	circular	03-APR-2023
NC_034710	134753	DNA	circular	03-APR-2023
NC_034711	239448	DNA	circular	03-APR-2023
NC_034712	239387	DNA	circular	03-APR-2023
NC_034713	166355	DNA	circular	03-APR-2023
NC_034714	189599	DNA	circular	03-APR-2023
NC_034776	226658	DNA	circular	03-APR-2023
NC_034787	610063	DNA	circular	03-APR-2023
KY509314	80584	DNA	circular	17-MAY-2017
KY709207	205002	DNA	circular	14-MAY-2017
KY709208	226658	DNA	circular	14-MAY-2017
KY709209	610063	DNA	circular	14-MAY-2017
KY114064	232554	DNA	circular	26-APR-2017
KY114065	225641	DNA	circular	26-APR-2017
KY407656	227181	DNA	circular	25-APR-2017
KY407657	134753	DNA	circular	25-APR-2017
KY407658	239448	DNA	circular	25-APR-2017
KY407659	239387	DNA	circular	25-APR-2017
KY407660	166355	DNA	circular	25-APR-2017
KY407661	189599	DNA	circular	22-MAY-2018
KY124271	977204	DNA	circular	01-MAY-2018
KT716756	195784	DNA	circular	07-MAR-2017
NC_033877	187001	DNA	circular	03-APR-2023
KX013546	104809	DNA	circular	12-FEB-2017
KX601051	187001	DNA	circular	05-FEB-2019
NC_033387	79397	DNA	circular	03-APR-2023
AP017927	79397	DNA	circular	06-JAN-2017
NC_032284	104098	DNA	circular	03-APR-2023
NC_032288	124450	DNA	circular	03-APR-2023
NC_032396	176070	DNA	circular	03-APR-2023
NC_032399	176031	DNA	circular	03-APR-2023
KX897545	976991	DNA	circular	01-MAY-2018
NC_032109	167394	DNA	circular	03-APR-2023
KU059765	104098	DNA	circular	06-JUN-2018
KU255795	124450	DNA	circular	11-DEC-2016
NC_032041	176159	DNA	circular	03-APR-2023
NC_032042	176522	DNA	circular	03-APR-2023
NC_032043	91509	DNA	circular	03-APR-2023
NC_032045	138815	DNA	circular	03-APR-2023
KX828176	167394	DNA	circular	03-DEC-2016
KJ513670	176070	DNA	circular	01-DEC-2016
KP675983	176031	DNA	circular	01-DEC-2016
KT266849	176159	DNA	circular	27-NOV-2016
KT946602	176522	DNA	circular	14-JUN-2018
KT946603	91509	DNA	circular	14-JAN-2019
KU164871	138815	DNA	circular	18-NOV-2016
KU164872	138844	DNA	circular	18-NOV-2016
KX839260	124999	DNA	circular	28-JAN-2019
KX839261	126413	DNA	circular	28-JAN-2019
NC_031510	204438	DNA	circular	03-APR-2023
LT622862	184585	DNA	linear	13-OCT-2016
LT622863	184997	DNA	linear	13-OCT-2016
