protein	Uniref90 representative	full name	descriptions	UniProt Representative link	pfam domains	pfam_links	alignment_path	n_seqs	structure_path
preA	Q1XDL8	Prenyl transferase	Possible role in synthesis of the nonaprenyl side chain of plastoquinone or in synthesis of other prenyl chains such as undekaprenyl pyrophosphate	https://www.uniprot.org/uniprotkb/Q1XDL8/entry	PF00348	https://www.ebi.ac.uk/interpro/entry/pfam/PF00348	/public/downloads/preA.fa	266.0	/public/downloads/preA.cif
psaA	P51284	Photosystem I P700 chlorophyll a apoprotein A1	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin/cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6.	https://www.uniprot.org/uniprotkb/P51284/entry	PF00223	https://www.ebi.ac.uk/interpro/entry/pfam/PF00223	/public/downloads/psaA.fa	865.0	/public/downloads/psaA.cif
psaB	P51285	Photosystem I P700 chlorophyll a apoprotein A2	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin/cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6.	https://www.uniprot.org/uniprotkb/P51285/entry	PF00223	https://www.ebi.ac.uk/interpro/entry/pfam/PF00223	/public/downloads/psaB.fa	863.0	/public/downloads/psaB.cif
psaC	P51374	Photosystem I iron-sulfur center	Apoprotein for the two 4Fe-4S centers FA and FB of photosystem I (PSI); essential for photochemical activity. FB is the terminal electron acceptor of PSI, donating electrons to ferredoxin. The C-terminus interacts with PsaA/B/D and helps assemble the protein into the PSI complex. Required for binding of PsaD and PsaE to PSI. PSI is a plastocyanin/cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn	https://www.uniprot.org/uniprotkb/P51374/entry	PF00037,PF12797,PF12798,PF12800,PF12837,PF12838,PF13183,PF13187,PF13237,PF13484,PF13534,PF13746,PF14697	https://www.ebi.ac.uk/interpro/entry/pfam/PF00037,https://www.ebi.ac.uk/interpro/entry/pfam/PF12797,https://www.ebi.ac.uk/interpro/entry/pfam/PF12798,https://www.ebi.ac.uk/interpro/entry/pfam/PF12800,https://www.ebi.ac.uk/interpro/entry/pfam/PF12837,https://www.ebi.ac.uk/interpro/entry/pfam/PF12838,https://www.ebi.ac.uk/interpro/entry/pfam/PF13183,https://www.ebi.ac.uk/interpro/entry/pfam/PF13187,https://www.ebi.ac.uk/interpro/entry/pfam/PF13237,https://www.ebi.ac.uk/interpro/entry/pfam/PF13484,https://www.ebi.ac.uk/interpro/entry/pfam/PF13534,https://www.ebi.ac.uk/interpro/entry/pfam/PF13746,https://www.ebi.ac.uk/interpro/entry/pfam/PF14697	/public/downloads/psaC.fa	930.0	/public/downloads/psaC.cif
psaD	P51279	Photosystem I reaction center subunit II	PsaD can form complexes with ferredoxin and ferredoxin-oxidoreductase in photosystem I (PS I) reaction center	https://www.uniprot.org/uniprotkb/P51279/entry	PF02531	https://www.ebi.ac.uk/interpro/entry/pfam/PF02531	/public/downloads/psaD.fa	518.0	/public/downloads/psaD.cif
psaE	P69403	Photosystem I reaction center subunit IV	Stabilizes the interaction between PsaC and the PSI core, assists the docking of the ferredoxin to PSI and interacts with ferredoxin-NADP oxidoreductase	https://www.uniprot.org/uniprotkb/P69403/entry	PF02427	https://www.ebi.ac.uk/interpro/entry/pfam/PF02427	/public/downloads/psaE.fa	497.0	/public/downloads/psaE.cif
psaF	Q1XDU4	Photosystem I reaction center subunit III	Probably participates in efficiency of electron transfer from plastocyanin to P700 (or cytochrome c553 in algae and cyanobacteria). This plastocyanin-docking protein contributes to the specific association of plastocyanin to PSI (By similarity)	https://www.uniprot.org/uniprotkb/Q1XDU4/entry	PF02507	https://www.ebi.ac.uk/interpro/entry/pfam/PF02507	/public/downloads/psaF.fa	518.0	/public/downloads/psaF.cif
psaI	P51387	Photosystem I reaction center subunit VIII	May help in the organization of the PsaL subunit	https://www.uniprot.org/uniprotkb/P51387/entry	PF00796	https://www.ebi.ac.uk/interpro/entry/pfam/PF00796	/public/downloads/psaI.fa	707.0	/public/downloads/psaI.cif
psaJ	P51194	Photosystem I reaction center subunit IX	May help in the organization of the PsaE and PsaF subunits	https://www.uniprot.org/uniprotkb/P51194/entry	PF01701	https://www.ebi.ac.uk/interpro/entry/pfam/PF01701	/public/downloads/psaJ.fa	849.0	/public/downloads/psaJ.cif
psaK	P51370	Photosystem I reaction center subunit PsaK		https://www.uniprot.org/uniprotkb/P51370/entry	PF01241	https://www.ebi.ac.uk/interpro/entry/pfam/PF01241	/public/downloads/psaK.fa	288.0	/public/downloads/psaK.cif
psaM	Q1XD92	Photosystem I reaction center subunit XII		https://www.uniprot.org/uniprotkb/Q1XD92/entry	PF07465	https://www.ebi.ac.uk/interpro/entry/pfam/PF07465	/public/downloads/psaM.fa	696.0	/public/downloads/psaM.cif
psb30_ycf12	P56328	Photosystem II reaction center protein Psb30	A core subunit of photosystem II (PSII), probably helps stabilize the reaction center	https://www.uniprot.org/uniprotkb/P56328/entry	PF05969	https://www.ebi.ac.uk/interpro/entry/pfam/PF05969	/public/downloads/psb30_ycf12.fa	802.0	/public/downloads/psb30_ycf12.cif
psbA	P51212	Photosystem II protein D1	Photosystem II (PSII) is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H2O, generating O2 and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1/D2 (PsbA/PsbD) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors. D2 is needed for assembly of a stable PSII complex.	https://www.uniprot.org/uniprotkb/P51212/entry	PF00124	https://www.ebi.ac.uk/interpro/entry/pfam/PF00124	/public/downloads/psbA.fa	974.0	/public/downloads/psbA.cif
psbB	Q1XDG4	Photosystem II CP47 reaction center protein	One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light-driven water:plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation	https://www.uniprot.org/uniprotkb/Q1XDG4/entry	PF00421	https://www.ebi.ac.uk/interpro/entry/pfam/PF00421	/public/downloads/psbB.fa	847.0	/public/downloads/psbB.cif
psbC	Q1XDD1	Photosystem II CP43 reaction center protein	One of the components of the core complex of photosystem II (PSII). It binds chlorophyll and helps catalyze the primary light-induced photochemical processes of PSII. PSII is a light-driven water:plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation	https://www.uniprot.org/uniprotkb/Q1XDD1/entry	PF00421	https://www.ebi.ac.uk/interpro/entry/pfam/PF00421	/public/downloads/psbC.fa	855.0	/public/downloads/psbC.cif
psbD	Q1XDD0	Photosystem II D2 protein	Photosystem II (PSII) is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H2O, generating O2 and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. The D1/D2 (PsbA/PsbD) reaction center heterodimer binds P680, the primary electron donor of PSII as well as several subsequent electron acceptors. D2 is needed for assembly of a stable PSII complex.	https://www.uniprot.org/uniprotkb/Q1XDD0/entry	PF00124	https://www.ebi.ac.uk/interpro/entry/pfam/PF00124	/public/downloads/psbD.fa	856.0	/public/downloads/psbD.cif
psbE	Q1XD96	Cytochrome b559 subunit alpha	This b-type cytochrome is tightly associated with the reaction center of photosystem II (PSII). PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	https://www.uniprot.org/uniprotkb/Q1XD96/entry	PF00283,PF00284	https://www.ebi.ac.uk/interpro/entry/pfam/PF00283,https://www.ebi.ac.uk/interpro/entry/pfam/PF00284	/public/downloads/psbE.fa	847.0	/public/downloads/psbE.cif
psbF	P51390	Cytochrome b559 subunit beta	This b-type cytochrome is tightly associated with the reaction center of photosystem II (PSII). PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	https://www.uniprot.org/uniprotkb/P51390/entry	PF00283	https://www.ebi.ac.uk/interpro/entry/pfam/PF00283	/public/downloads/psbF.fa	844.0	/public/downloads/psbF.cif
psbH	Q1XDG1	Photosystem II reaction center protein H	One of the components of the core complex of photosystem II (PSII), required for its stability and/or assembly. PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	https://www.uniprot.org/uniprotkb/Q1XDG1/entry	PF00737	https://www.ebi.ac.uk/interpro/entry/pfam/PF00737	/public/downloads/psbH.fa	847.0	/public/downloads/psbH.cif
psbI	P51236	Photosystem II reaction center protein I	One of the components of the core complex of photosystem II (PSII), required for its stability and/or assembly. PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	https://www.uniprot.org/uniprotkb/P51236/entry	PF02532	https://www.ebi.ac.uk/interpro/entry/pfam/PF02532	/public/downloads/psbI.fa	841.0	/public/downloads/psbI.cif
psbJ	P51388	Photosystem II reaction center protein J	One of the components of the core complex of photosystem II (PSII). PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	https://www.uniprot.org/uniprotkb/P51388/entry	PF01788	https://www.ebi.ac.uk/interpro/entry/pfam/PF01788	/public/downloads/psbJ.fa	841.0	/public/downloads/psbJ.cif
psbK	Q1XDH0	Photosystem II reaction center protein K	One of the components of the core complex of photosystem II (PSII). PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	https://www.uniprot.org/uniprotkb/Q1XDH0/entry	PF00453,PF02533	https://www.ebi.ac.uk/interpro/entry/pfam/PF00453,https://www.ebi.ac.uk/interpro/entry/pfam/PF02533	/public/downloads/psbK.fa	838.0	/public/downloads/psbK.cif
psbL	Q1XD98	Photosystem II reaction center protein L	One of the components of the core complex of photosystem II (PSII). PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. This subunit is found at the monomer-monomer interface and is required for correct PSII assembly and/or dimerization	https://www.uniprot.org/uniprotkb/Q1XD98/entry	PF02419	https://www.ebi.ac.uk/interpro/entry/pfam/PF02419	/public/downloads/psbL.fa	837.0	/public/downloads/psbL.cif
psbM	Q9TL37	Photosystem II reaction center protein M	One of the components of the core complex of photosystem II (PSII). PSII is a light-driven water:plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation. This subunit is found at the monomer-monomer interface	https://www.uniprot.org/uniprotkb/Q9TL37/entry	PF05151	https://www.ebi.ac.uk/interpro/entry/pfam/PF05151	/public/downloads/psbM.fa	285.0	/public/downloads/psbM.cif
psbN	Q1XDG2	Protein PsbN	May play a role in photosystem I and II biogenesis	https://www.uniprot.org/uniprotkb/Q1XDG2/entry	PF02468	https://www.ebi.ac.uk/interpro/entry/pfam/PF02468	/public/downloads/psbN.fa	839.0	/public/downloads/psbN.cif
psbT	P51323	Photosystem II reaction center protein T	Found at the monomer-monomer interface of the photosystem II (PS II) dimer, plays a role in assembly and dimerization of PSII. PSII is a light-driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating a proton gradient subsequently used for ATP formation	https://www.uniprot.org/uniprotkb/P51323/entry	PF01405	https://www.ebi.ac.uk/interpro/entry/pfam/PF01405	/public/downloads/psbT.fa	831.0	/public/downloads/psbT.cif
psbV	P51199	Photosystem II extrinsic protein V	One of the extrinsic, lumenal subunits of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating a proton gradient subsequently used for ATP formation. The extrinsic proteins stabilize the structure of photosystem II oxygen-evolving complex (OEC), the ion environment of oxygen evolution and protect the OEC against heat-induced inactivation	https://www.uniprot.org/uniprotkb/P51199/entry	PF00034,PF03150,PF13442	https://www.ebi.ac.uk/interpro/entry/pfam/PF00034,https://www.ebi.ac.uk/interpro/entry/pfam/PF03150,https://www.ebi.ac.uk/interpro/entry/pfam/PF13442	/public/downloads/psbV.fa	536.0	/public/downloads/psbV.cif
psbW	P51347	Photosystem II reaction center Psb28 protein		https://www.uniprot.org/uniprotkb/P51347/entry	PF00581,PF03912,PF13476	https://www.ebi.ac.uk/interpro/entry/pfam/PF00581,https://www.ebi.ac.uk/interpro/entry/pfam/PF03912,https://www.ebi.ac.uk/interpro/entry/pfam/PF13476	/public/downloads/psbW.fa	504.0	/public/downloads/psbW.cif
psbX	Q1XDU0	Photosystem II reaction center protein X	Involved in the binding and/or turnover of quinones at the Q(B) site of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating a proton gradient subsequently used for ATP formation	https://www.uniprot.org/uniprotkb/Q1XDU0/entry	PF06596	https://www.ebi.ac.uk/interpro/entry/pfam/PF06596	/public/downloads/psbX.fa	506.0	/public/downloads/psbX.cif
psbY	Q1XDT1	Photosystem II reaction center protein Y	Loosely associated component of the core of photosystem II (PSII), it is not always seen in crystals. PSII is a light-driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating a proton gradient subsequently used for ATP formation	https://www.uniprot.org/uniprotkb/Q1XDT1/entry	PF06298	https://www.ebi.ac.uk/interpro/entry/pfam/PF06298	/public/downloads/psbY.fa	588.0	/public/downloads/psbY.cif
psbZ	Q1XDH1	Photosystem II reaction center protein Z	May control the interaction of photosystem II (PSII) cores with the light-harvesting antenna, regulates electron flow through the 2 photosystem reaction centers. PSII is a light-driven water plastoquinone oxidoreductase, using light energy to abstract electrons from H(2)O, generating a proton gradient subsequently used for ATP formation	https://www.uniprot.org/uniprotkb/Q1XDH1/entry	PF01737	https://www.ebi.ac.uk/interpro/entry/pfam/PF01737	/public/downloads/psbZ.fa	782.0	/public/downloads/psbZ.cif
rbcL	P36483	Ribulose bisphosphate carboxylase large chain	RuBisCO catalyzes two reactions: the carboxylation of D-ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site	https://www.uniprot.org/uniprotkb/P36483/entry	PF00016,PF02788	https://www.ebi.ac.uk/interpro/entry/pfam/PF00016,https://www.ebi.ac.uk/interpro/entry/pfam/PF02788	/public/downloads/rbcL.fa	866.0	/public/downloads/rbcL.cif
rbcR	P51205	Probable RuBisCO transcriptional regulator	Trans-acting transcriptional regulator of RuBisCO genes (rbcL and rbcS) expression	https://www.uniprot.org/uniprotkb/P51205/entry	PF00126,PF01022,PF01047,PF03466,PF12727,PF12802,PF12840,PF12849,PF13412,PF13556	https://www.ebi.ac.uk/interpro/entry/pfam/PF00126,https://www.ebi.ac.uk/interpro/entry/pfam/PF01022,https://www.ebi.ac.uk/interpro/entry/pfam/PF01047,https://www.ebi.ac.uk/interpro/entry/pfam/PF03466,https://www.ebi.ac.uk/interpro/entry/pfam/PF12727,https://www.ebi.ac.uk/interpro/entry/pfam/PF12802,https://www.ebi.ac.uk/interpro/entry/pfam/PF12840,https://www.ebi.ac.uk/interpro/entry/pfam/PF12849,https://www.ebi.ac.uk/interpro/entry/pfam/PF13412,https://www.ebi.ac.uk/interpro/entry/pfam/PF13556	/public/downloads/rbcR.fa	523.0	/public/downloads/rbcR.cif
rbcS	Q760R8	Ribulose bisphosphate carboxylase small subunit	RuBisCO catalyzes two reactions: the carboxylation of D-ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site. Although the small subunit is not catalytic it is essential for maximal activity	https://www.uniprot.org/uniprotkb/Q760R8/entry	PF00101	https://www.ebi.ac.uk/interpro/entry/pfam/PF00101	/public/downloads/rbcS.fa	527.0	/public/downloads/rbcS.cif
rne	Q1XDS6	Ribonuclease E/G-like protein	Involved in intercistronic processing of primary transcripts from chloroplast operons. The endonucleolytic activity of the enzyme depends on the number of phosphates at the 5' end, is inhibited by structured RNA, and preferentially cleaves A/U-rich sequences	https://www.uniprot.org/uniprotkb/Q1XDS6/entry	PF00575,PF10150	https://www.ebi.ac.uk/interpro/entry/pfam/PF00575,https://www.ebi.ac.uk/interpro/entry/pfam/PF10150	/public/downloads/rne.fa	275.0	/public/downloads/rne.cif
rpl1	P51338	Large ribosomal subunit protein uL1c	Binds directly to 23S rRNA. Might be involved in E site tRNA release (Potential)	https://www.uniprot.org/uniprotkb/P51338/entry	PF00687	https://www.ebi.ac.uk/interpro/entry/pfam/PF00687	/public/downloads/rpl1.fa	510.0	/public/downloads/rpl1.cif
rpl11	P51337	Large ribosomal subunit protein uL11c	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors	https://www.uniprot.org/uniprotkb/P51337/entry	PF00298,PF03946	https://www.ebi.ac.uk/interpro/entry/pfam/PF00298,https://www.ebi.ac.uk/interpro/entry/pfam/PF03946	/public/downloads/rpl11.fa	514.0	/public/downloads/rpl11.cif
rpl12	Q1XDE8	Large ribosomal subunit protein bL12c	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation	https://www.uniprot.org/uniprotkb/Q1XDE8/entry	PF00542	https://www.ebi.ac.uk/interpro/entry/pfam/PF00542	/public/downloads/rpl12.fa	715.0	/public/downloads/rpl12.cif
rpl13	Q1XDJ6	Large ribosomal subunit protein uL13c		https://www.uniprot.org/uniprotkb/Q1XDJ6/entry	PF00572	https://www.ebi.ac.uk/interpro/entry/pfam/PF00572	/public/downloads/rpl13.fa	511.0	/public/downloads/rpl13.cif
rpl14	Q1XDI4	Large ribosomal subunit protein uL14c	Binds to 23S rRNA	https://www.uniprot.org/uniprotkb/Q1XDI4/entry	PF00238	https://www.ebi.ac.uk/interpro/entry/pfam/PF00238	/public/downloads/rpl14.fa	868.0	/public/downloads/rpl14.cif
rpl16	P51307	Large ribosomal subunit protein uL16c		https://www.uniprot.org/uniprotkb/P51307/entry	PF00252	https://www.ebi.ac.uk/interpro/entry/pfam/PF00252	/public/downloads/rpl16.fa	867.0	/public/downloads/rpl16.cif
rpl18	P51299	Large ribosomal subunit protein uL18c	Binds 5S rRNA, forms part of the central protuberance of the 50S subunit	https://www.uniprot.org/uniprotkb/P51299/entry	PF00861	https://www.ebi.ac.uk/interpro/entry/pfam/PF00861	/public/downloads/rpl18.fa	503.0	/public/downloads/rpl18.cif
rpl19	Q1XDF5	Large ribosomal subunit protein bL19c		https://www.uniprot.org/uniprotkb/Q1XDF5/entry	PF01245	https://www.ebi.ac.uk/interpro/entry/pfam/PF01245	/public/downloads/rpl19.fa	700.0	/public/downloads/rpl19.cif
rpl2	Q1XDH7	Large ribosomal subunit protein uL2c		https://www.uniprot.org/uniprotkb/Q1XDH7/entry	PF00181,PF00203,PF03947	https://www.ebi.ac.uk/interpro/entry/pfam/PF00181,https://www.ebi.ac.uk/interpro/entry/pfam/PF00203,https://www.ebi.ac.uk/interpro/entry/pfam/PF03947	/public/downloads/rpl2.fa	877.0	/public/downloads/rpl2.cif
rpl20	Q1XDL7	Large ribosomal subunit protein bL20c	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit	https://www.uniprot.org/uniprotkb/Q1XDL7/entry	PF00453	https://www.ebi.ac.uk/interpro/entry/pfam/PF00453	/public/downloads/rpl20.fa	894.0	/public/downloads/rpl20.cif
rpl21	Q1XDS8	Large ribosomal subunit protein bL21c	This protein binds to 23S rRNA	https://www.uniprot.org/uniprotkb/Q1XDS8/entry	PF00829	https://www.ebi.ac.uk/interpro/entry/pfam/PF00829	/public/downloads/rpl21.fa	611.0	/public/downloads/rpl21.cif
rpl22	Q1XDH9	Large ribosomal subunit protein uL22c	This protein binds specifically to 23S rRNA The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome	https://www.uniprot.org/uniprotkb/Q1XDH9/entry	PF00237	https://www.ebi.ac.uk/interpro/entry/pfam/PF00237	/public/downloads/rpl22.fa	590.0	/public/downloads/rpl22.cif
rpl23	P51312	Large ribosomal subunit protein uL23c	Binds to 23S rRNA	https://www.uniprot.org/uniprotkb/P51312/entry	PF00276	https://www.ebi.ac.uk/interpro/entry/pfam/PF00276	/public/downloads/rpl23.fa	849.0	/public/downloads/rpl23.cif
rpl24	P51303	Large ribosomal subunit protein uL24c	One of two assembly initiator proteins, it binds directly to the 5'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit	https://www.uniprot.org/uniprotkb/P51303/entry	PF00467	https://www.ebi.ac.uk/interpro/entry/pfam/PF00467	/public/downloads/rpl24.fa	485.0	/public/downloads/rpl24.cif
rpl27	P51210	Large ribosomal subunit protein bL27c		https://www.uniprot.org/uniprotkb/P51210/entry	PF01016	https://www.ebi.ac.uk/interpro/entry/pfam/PF01016	/public/downloads/rpl27.fa	560.0	/public/downloads/rpl27.cif
rpl28	Q1XDR3	Large ribosomal subunit protein bL28c		https://www.uniprot.org/uniprotkb/Q1XDR3/entry	PF00830	https://www.ebi.ac.uk/interpro/entry/pfam/PF00830	/public/downloads/rpl28.fa	268.0	/public/downloads/rpl28.cif
rpl29	P51306	Large ribosomal subunit protein uL29c		https://www.uniprot.org/uniprotkb/P51306/entry	PF00831	https://www.ebi.ac.uk/interpro/entry/pfam/PF00831	/public/downloads/rpl29.fa	493.0	/public/downloads/rpl29.cif
rpl3	P51314	Large ribosomal subunit protein uL3c	One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit	https://www.uniprot.org/uniprotkb/P51314/entry	PF00297	https://www.ebi.ac.uk/interpro/entry/pfam/PF00297	/public/downloads/rpl3.fa	527.0	/public/downloads/rpl3.cif
rpl31	P51290	Large ribosomal subunit protein bL31c	Binds the 23S rRNA	https://www.uniprot.org/uniprotkb/P51290/entry	PF01197	https://www.ebi.ac.uk/interpro/entry/pfam/PF01197	/public/downloads/rpl31.fa	521.0	/public/downloads/rpl31.cif
rpl32	Q1XDT0	Large ribosomal subunit protein bL32c		https://www.uniprot.org/uniprotkb/Q1XDT0/entry	PF01783	https://www.ebi.ac.uk/interpro/entry/pfam/PF01783	/public/downloads/rpl32.fa	791.0	/public/downloads/rpl32.cif
rpl33	P51255	Large ribosomal subunit protein bL33c		https://www.uniprot.org/uniprotkb/P51255/entry	PF00471	https://www.ebi.ac.uk/interpro/entry/pfam/PF00471	/public/downloads/rpl33.fa	556.0	/public/downloads/rpl33.cif
rpl34	Q1XDU7	Large ribosomal subunit protein bL34c		https://www.uniprot.org/uniprotkb/Q1XDU7/entry	PF00468	https://www.ebi.ac.uk/interpro/entry/pfam/PF00468	/public/downloads/rpl34.fa	534.0	/public/downloads/rpl34.cif
rpl35	P51270	Large ribosomal subunit protein bL35c		https://www.uniprot.org/uniprotkb/P51270/entry	PF01632	https://www.ebi.ac.uk/interpro/entry/pfam/PF01632	/public/downloads/rpl35.fa	527.0	/public/downloads/rpl35.cif
rpl36	P51296	Large ribosomal subunit protein bL36c		https://www.uniprot.org/uniprotkb/P51296/entry	PF00444	https://www.ebi.ac.uk/interpro/entry/pfam/PF00444	/public/downloads/rpl36.fa	853.0	/public/downloads/rpl36.cif
rpl4	P51313	Large ribosomal subunit protein uL4c	Probably binds the 23S rRNA	https://www.uniprot.org/uniprotkb/P51313/entry	PF00276,PF00573	https://www.ebi.ac.uk/interpro/entry/pfam/PF00276,https://www.ebi.ac.uk/interpro/entry/pfam/PF00573	/public/downloads/rpl4.fa	505.0	/public/downloads/rpl4.cif
rpl5	P51302	Large ribosomal subunit protein uL5c	Binds 5S rRNA, forms part of the central protuberance of the 50S subunit	https://www.uniprot.org/uniprotkb/P51302/entry	PF00281,PF00673	https://www.ebi.ac.uk/interpro/entry/pfam/PF00281,https://www.ebi.ac.uk/interpro/entry/pfam/PF00673	/public/downloads/rpl5.fa	853.0	/public/downloads/rpl5.cif
rpl6	P51300	Large ribosomal subunit protein uL6c	Binds 23S rRNA	https://www.uniprot.org/uniprotkb/P51300/entry	PF00347	https://www.ebi.ac.uk/interpro/entry/pfam/PF00347	/public/downloads/rpl6.fa	527.0	/public/downloads/rpl6.cif
rpl9	P51334	Large ribosomal subunit protein bL9c	Binds to the 23S rRNA	https://www.uniprot.org/uniprotkb/P51334/entry	PF01281,PF03948	https://www.ebi.ac.uk/interpro/entry/pfam/PF01281,https://www.ebi.ac.uk/interpro/entry/pfam/PF03948	/public/downloads/rpl9.fa	290.0	/public/downloads/rpl9.cif
rpoA	Q1XDJ5	DNA-directed RNA polymerase subunit alpha	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	https://www.uniprot.org/uniprotkb/Q1XDJ5/entry	PF01000,PF01193,PF03118,PF14520	https://www.ebi.ac.uk/interpro/entry/pfam/PF01000,https://www.ebi.ac.uk/interpro/entry/pfam/PF01193,https://www.ebi.ac.uk/interpro/entry/pfam/PF03118,https://www.ebi.ac.uk/interpro/entry/pfam/PF14520	/public/downloads/rpoA.fa	831.0	/public/downloads/rpoA.cif
rpoB	P51252	DNA-directed RNA polymerase subunit beta	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates	https://www.uniprot.org/uniprotkb/P51252/entry	PF00562,PF04560,PF04561,PF04563,PF04565,PF10385	https://www.ebi.ac.uk/interpro/entry/pfam/PF00562,https://www.ebi.ac.uk/interpro/entry/pfam/PF04560,https://www.ebi.ac.uk/interpro/entry/pfam/PF04561,https://www.ebi.ac.uk/interpro/entry/pfam/PF04563,https://www.ebi.ac.uk/interpro/entry/pfam/PF04565,https://www.ebi.ac.uk/interpro/entry/pfam/PF10385	/public/downloads/rpoB.fa	983.0	/public/downloads/rpoB.cif
